BestTaxon,Class,MFU-CPS-mock2-even-d1-1_S1,MFU-CPS-mock2-even-d1-2_S2,MFU-CPS-mock2-even-d1-3_S3,MFU-CPS-mock2-skew-d1-1_S9,MFU-CPS-mock2-skew-d1-2_S10,MFU-CPS-mock2-skew-d1-3_S11,MFU-CPS-mock3-even-d1-1_S4,MFU-CPS-mock3-even-d1-2_S5,MFU-CPS-mock3-even-d1-3_S6,MFU-CPS-mock3-skew-d1-1_S12,MFU-CPS-mock3-skew-d1-2_S13,MFU-CPS-mock3-skew-d1-3_S14,MFU-CPS-mock4-even-d1-1_S127,MFU-CPS-mock4-even-d1-2_S128,MFU-CPS-mock4-even-d1-3_S129,MFU-CPS-mock4-skew-d1-1_S130,MFU-CPS-mock4-skew-d1-2_S131,MFU-CPS-mock4-skew-d1-3_S132,MFU-CPSmock2-even-d10-1-h_S74,MFU-CPSmock2-even-d10-1-l_S128,MFU-CPSmock2-even-d10-2-h_S75,MFU-CPSmock2-even-d10-2-l_S129,MFU-CPSmock2-even-d10-3-h_S76,MFU-CPSmock2-even-d10-3-l_S130,MFU-CPSmock2-even-d100-1-h_S92,MFU-CPSmock2-even-d100-2-h_S93,MFU-CPSmock2-even-d100-3-h_S94,MFU-CPSmock2-even-d1000-1-h_S110,MFU-CPSmock2-even-d1000-2-h_S111,MFU-CPSmock2-even-d1000-3-h_S112,MFU-CPSmock2-skew-d10-1-h_S77,MFU-CPSmock2-skew-d10-1-l_S131,MFU-CPSmock2-skew-d10-2-h_S78,MFU-CPSmock2-skew-d10-2-l_S132,MFU-CPSmock2-skew-d10-3-h_S79,MFU-CPSmock2-skew-d10-3-l_S133,MFU-CPSmock2-skew-d100-1-h_S95,MFU-CPSmock2-skew-d100-2-h_S96,MFU-CPSmock2-skew-d100-3-h_S97,MFU-CPSmock2-skew-d1000-1-h_S113,MFU-CPSmock2-skew-d1000-2-h_S114,MFU-CPSmock2-skew-d1000-3-h_S115,MFU-CPSmock3-even-d10-1-h_S80,MFU-CPSmock3-even-d10-1-l_S134,MFU-CPSmock3-even-d10-2-h_S81,MFU-CPSmock3-even-d10-2-l_S135,MFU-CPSmock3-even-d10-3-h_S82,MFU-CPSmock3-even-d10-3-l_S136,MFU-CPSmock3-even-d100-1-h_S98,MFU-CPSmock3-even-d100-2-h_S99,MFU-CPSmock3-even-d100-3-h_S100,MFU-CPSmock3-even-d1000-1-h_S116,MFU-CPSmock3-even-d1000-2-h_S117,MFU-CPSmock3-even-d1000-3-h_S118,MFU-CPSmock3-skew-d10-1-h_S83,MFU-CPSmock3-skew-d10-1-l_S137,MFU-CPSmock3-skew-d10-2-h_S84,MFU-CPSmock3-skew-d10-2-l_S138,MFU-CPSmock3-skew-d10-3-h_S85,MFU-CPSmock3-skew-d10-3-l_S139,MFU-CPSmock3-skew-d100-1-h_S101,MFU-CPSmock3-skew-d100-2-h_S102,MFU-CPSmock3-skew-d100-3-h_S103,MFU-CPSmock3-skew-d1000-1-h_S119,MFU-CPSmock3-skew-d1000-2-h_S120,MFU-CPSmock3-skew-d1000-3-h_S121,MFU-CPSmock4-even-d10-1-h_S86,MFU-CPSmock4-even-d10-1-l_S140,MFU-CPSmock4-even-d10-2-h_S87,MFU-CPSmock4-even-d10-2-l_S141,MFU-CPSmock4-even-d10-3-h_S88,MFU-CPSmock4-even-d10-3-l_S142,MFU-CPSmock4-even-d100-1-h_S104,MFU-CPSmock4-even-d100-2-h_S105,MFU-CPSmock4-even-d100-3-h_S106,MFU-CPSmock4-even-d1000-1-h_S122,MFU-CPSmock4-even-d1000-2-h_S123,MFU-CPSmock4-even-d1000-3-h_S124,MFU-CPSmock4-skew-d10-1-h_S89,MFU-CPSmock4-skew-d10-1-l_S143,MFU-CPSmock4-skew-d10-2-h_S90,MFU-CPSmock4-skew-d10-2-l_S144,MFU-CPSmock4-skew-d10-3-h_S91,MFU-CPSmock4-skew-d10-3-l_S145,MFU-CPSmock4-skew-d100-1-h_S107,MFU-CPSmock4-skew-d100-2-h_S108,MFU-CPSmock4-skew-d100-3-h_S109,MFU-CPSmock4-skew-d1000-1-h_S125,MFU-CPSmock4-skew-d1000-2-h_S126,MFU-CPSmock4-skew-d1000-3-h_S127
Alosa sapidissima,Actinopteri,0,0,0,0,0,0,1992,2728,2391,2056,2470,2122,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2688,26,282,44,3558,65,1648,1030,2770,851,177,0,5648,18,2267,42,1931,44,6371,2780,3911,719,2514,2057,25,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anoplopoma fimbria,Actinopteri,0,0,0,0,0,0,584,800,703,960,1003,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,5,120,11,1367,25,440,462,553,1129,141,1296,3263,9,1079,23,903,20,3283,916,2101,801,0,515,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
Artedius fenestralis,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,9215,10440,17402,25587,24680,5602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24399,248,6340,240,8494,248,14473,6070,2609,1899,17135,6889,7820,69,4450,251,11785,179,9468,7087,5496,854,5607,12328
Artedius harringtoni,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,10349,13629,20542,56452,56540,13765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26832,236,7194,275,10127,285,13929,6527,2074,1579,18301,2247,18107,151,8894,523,24584,259,24134,13023,12592,1477,9740,24041
Chitonotus pugetensis,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,8746,10043,16901,29154,29247,6589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24491,282,6149,249,8809,223,18666,5880,2876,1284,17333,6270,9367,85,5309,270,15546,206,14905,9362,9643,2067,14778,20795
Citharichthys sordidus,Actinopteri,13908,13974,8926,13431,15635,13955,0,0,0,10,0,0,0,0,0,0,0,0,14606,123,30031,102,28386,135,3531,9615,6910,2828,32171,24457,5286,76,26658,280,17902,156,6691,10741,8232,44088,8935,7971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citharichthys stigmaeus,Actinopteri,0,0,0,0,0,0,5756,8481,7300,9910,12305,11425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7211,42,770,85,10063,138,3344,2825,6507,8806,165,10537,27564,100,9965,139,8348,171,21499,9850,15076,8638,7725,9036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microstomus pacificus,Actinopteri,3329,3525,2475,11418,13148,11957,0,0,0,0,0,0,0,0,0,0,0,0,4354,43,8400,29,8437,38,811,3222,2707,1661,20017,6958,4405,90,23439,204,14478,111,5516,9124,6250,28228,6974,12723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea pallasii,Actinopteri,3644,3824,2698,609,711,666,0,0,0,0,0,0,580,676,1104,741,659,140,4582,53,9014,36,9345,49,1043,3135,3546,3,1084,1889,366,3,1682,19,1315,10,71,853,512,0,0,872,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,0,0,0,0,293,0,0,1984,23,415,12,494,14,544,140,158,0,2,0,92,0,92,4,314,2,1135,81,317,17,0,2273
Cottus confusus,Actinopteri,6310,6611,4547,14057,16677,15207,0,0,0,0,0,0,1933,2137,3796,6774,6608,1452,6362,59,14286,80,14437,62,1601,4977,4318,2918,17909,11127,4693,65,27475,277,17094,121,6893,12440,7516,53322,4794,9192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6760,74,1627,45,2315,79,2474,2121,484,296,6475,530,2629,18,1205,72,3522,43,2737,1401,1837,722,0,4743
