BestTaxon,Class,MV1-CPS-mock2-even-d1-1_S47,MV1-CPS-mock2-even-d1-2_S48,MV1-CPS-mock2-even-d1-3_S49,MV1-CPS-mock2-skew-d1-1_S55,MV1-CPS-mock2-skew-d1-2_S56,MV1-CPS-mock2-skew-d1-3_S57,MV1-CPS-mock3-even-d1-1_S50,MV1-CPS-mock3-even-d1-2_S51,MV1-CPS-mock3-even-d1-3_S52,MV1-CPS-mock3-skew-d1-1_S58,MV1-CPS-mock3-skew-d1-2_S59,MV1-CPS-mock3-skew-d1-3_S60,MV1-CPS-mock4-even-d1-1_S121,MV1-CPS-mock4-even-d1-2_S122,MV1-CPS-mock4-even-d1-3_S123,MV1-CPS-mock4-skew-d1-1_S124,MV1-CPS-mock4-skew-d1-2_S125,MV1-CPS-mock4-skew-d1-3_S126,MV1-CPSmock2-even-d10-1-h_S1,MV1-CPSmock2-even-d10-1-l_S55,MV1-CPSmock2-even-d10-2-h_S2,MV1-CPSmock2-even-d10-2-l_S56,MV1-CPSmock2-even-d10-3-h_S3,MV1-CPSmock2-even-d10-3-l_S57,MV1-CPSmock2-even-d100-1-h_S19,MV1-CPSmock2-even-d100-2-h_S20,MV1-CPSmock2-even-d100-3-h_S21,MV1-CPSmock2-even-d1000-1-h_S37,MV1-CPSmock2-even-d1000-2-h_S38,MV1-CPSmock2-even-d1000-3-h_S39,MV1-CPSmock2-skew-d10-1-h_S4,MV1-CPSmock2-skew-d10-1-l_S58,MV1-CPSmock2-skew-d10-2-h_S5,MV1-CPSmock2-skew-d10-2-l_S59,MV1-CPSmock2-skew-d10-3-h_S6,MV1-CPSmock2-skew-d10-3-l_S60,MV1-CPSmock2-skew-d100-1-h_S22,MV1-CPSmock2-skew-d100-2-h_S23,MV1-CPSmock2-skew-d100-3-h_S24,MV1-CPSmock2-skew-d1000-1-h_S40,MV1-CPSmock2-skew-d1000-2-h_S41,MV1-CPSmock2-skew-d1000-3-h_S42,MV1-CPSmock3-even-d10-1-h_S7,MV1-CPSmock3-even-d10-1-l_S61,MV1-CPSmock3-even-d10-2-h_S8,MV1-CPSmock3-even-d10-2-l_S62,MV1-CPSmock3-even-d10-3-h_S9,MV1-CPSmock3-even-d10-3-l_S63,MV1-CPSmock3-even-d100-1-h_S25,MV1-CPSmock3-even-d100-2-h_S26,MV1-CPSmock3-even-d100-3-h_S27,MV1-CPSmock3-even-d1000-1-h_S43,MV1-CPSmock3-even-d1000-2-h_S44,MV1-CPSmock3-even-d1000-3-h_S45,MV1-CPSmock3-skew-d10-1-h_S10,MV1-CPSmock3-skew-d10-1-l_S64,MV1-CPSmock3-skew-d10-2-h_S11,MV1-CPSmock3-skew-d10-2-l_S65,MV1-CPSmock3-skew-d10-3-h_S12,MV1-CPSmock3-skew-d10-3-l_S66,MV1-CPSmock3-skew-d100-1-h_S28,MV1-CPSmock3-skew-d100-2-h_S29,MV1-CPSmock3-skew-d100-3-h_S30,MV1-CPSmock3-skew-d1000-1-h_S46,MV1-CPSmock3-skew-d1000-2-h_S47,MV1-CPSmock3-skew-d1000-3-h_S48,MV1-CPSmock4-even-d10-1-h_S13,MV1-CPSmock4-even-d10-1-l_S67,MV1-CPSmock4-even-d10-2-h_S14,MV1-CPSmock4-even-d10-2-l_S68,MV1-CPSmock4-even-d10-3-h_S15,MV1-CPSmock4-even-d10-3-l_S69,MV1-CPSmock4-even-d100-1-h_S31,MV1-CPSmock4-even-d100-2-h_S32,MV1-CPSmock4-even-d100-3-h_S33,MV1-CPSmock4-even-d1000-1-h_S49,MV1-CPSmock4-even-d1000-2-h_S50,MV1-CPSmock4-even-d1000-3-h_S51,MV1-CPSmock4-skew-d10-1-h_S16,MV1-CPSmock4-skew-d10-1-l_S70,MV1-CPSmock4-skew-d10-2-h_S17,MV1-CPSmock4-skew-d10-2-l_S71,MV1-CPSmock4-skew-d10-3-h_S18,MV1-CPSmock4-skew-d10-3-l_S72,MV1-CPSmock4-skew-d100-1-h_S34,MV1-CPSmock4-skew-d100-2-h_S35,MV1-CPSmock4-skew-d100-3-h_S36,MV1-CPSmock4-skew-d1000-1-h_S52,MV1-CPSmock4-skew-d1000-2-h_S53,MV1-CPSmock4-skew-d1000-3-h_S54
Alosa sapidissima,Actinopteri,0,0,3,0,0,0,2803,2816,2147,2601,1547,2117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5027,27,7014,29,2886,59,2327,3693,1959,0,0,243,5132,105,6439,27,2758,29,2546,4118,1319,4402,3195,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anoplopoma fimbria,Actinopteri,7,0,0,0,0,0,1009,1047,709,1192,750,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2058,15,2656,13,1006,14,919,1453,875,0,0,0,2569,44,3633,13,1368,16,1371,1492,830,552,523,1335,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artedius fenestralis,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,8521,11101,5685,10133,11319,29187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8487,57,20312,45,7312,142,6031,9924,8554,6756,21608,2125,4472,38,8340,60,6230,230,7776,3348,6590,2327,19446,51315
Artedius harringtoni,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,9993,13083,6677,25689,25577,65764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10090,110,22159,63,8566,182,5379,9413,9002,9767,47841,1541,9766,80,18339,130,13188,465,18470,4927,12145,8148,43664,38226
Chitonotus pugetensis,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,8341,11358,5335,12447,13970,35277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9946,95,18573,70,7248,169,5267,9421,8696,5035,23273,1925,6031,48,10225,70,7265,330,9591,3572,7523,4095,25986,42728
Citharichthys sordidus,Actinopteri,20475,11461,10447,25899,7682,9847,5,11,7,21,7,11,0,0,2,6,5,4,12945,205,9432,271,10314,126,41745,13547,19108,5442,2131,1894,23054,323,21390,220,27895,291,23353,28433,8362,27202,6696,6170,0,0,46,0,10,0,0,0,0,0,0,0,32,0,11,0,22,0,0,26,0,0,0,0,4,0,43,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
Citharichthys stigmaeus,Actinopteri,0,0,0,0,0,0,9780,9231,6797,12921,8079,10148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,16319,96,23484,107,8165,129,6102,10512,5789,11537,460,0,23716,263,30285,123,12287,107,12086,15110,6148,11189,4222,3379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microstomus pacificus,Actinopteri,5311,3035,3092,23057,6251,8647,0,0,4,0,0,4,0,0,0,0,0,0,4099,56,3334,82,2994,45,10479,3186,5085,1390,509,675,18757,246,19193,199,22387,248,22189,25605,6972,25592,3848,5803,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea pallasii,Actinopteri,5289,3153,2848,1318,364,527,0,0,0,0,0,0,595,797,381,251,244,731,4237,58,2788,77,3132,48,8472,3735,5989,390,168,389,1296,20,1425,22,1661,18,1840,2040,315,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,5,1533,0,614,16,615,739,717,1031,5605,0,174,0,156,0,288,3,209,122,111,0,3482,5991
Leptocottus armatus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,2355,3021,1439,1685,1746,4611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625,24,6072,11,2231,59,1642,3739,2452,4031,19645,553,852,9,1635,14,1100,64,1454,339,1642,749,4648,8167
