Mock_name,Even_skew,Species,Expected_mtDNA_prop,Qubit_for_ddPCR_ng_ul,ddPCR_copies_ul,copies_per_ng,Mock_ng_added_to_mock,Mock_copies_added_to_mock,Mock_conc_species_copies_ul,Mock_total_copies,Mock_total_volume_ul,Mock_total_conc_copies_ul
CPS_mock2,even,Merluccius productus,0.070582005,0.1235,2754.293798,22301.97407,6,133811.8444,2757.392861,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Engraulis mordax,0.092207368,0.058,1689.829681,29134.9945,6,174809.967,3602.220394,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Sardinops sagax,0.086369813,0.053,1446.39583,27290.48736,6,163742.9242,3374.167451,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Scomber japonicus,0.075170998,0.051,1211.350452,23751.96965,6,142511.8179,2936.668804,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Thunnus alalunga,0.005412323,0.063,107.7391472,1710.145194,6,10260.87116,211.4405717,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Trachurus symmetricus,0.035351977,0.1155,1290.164245,11170.2532,6,67021.51922,1381.078479,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Thaleichthys pacificus,0.060706659,0.09,1726.347244,19181.63604,6,115089.8163,2371.597515,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Microstomus pacificus,0.035306792,0.1495,1667.818393,11155.97587,6,66935.85524,1379.313245,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Clupea pallasii,0.025736509,0.061,496.0538044,8132.02958,6,48792.17748,1005.435673,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Oncorhynchus nerka,0.119963874,0.132,5003.49794,37905.28742,6,227431.7245,4686.570283,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Diaphus theta,0.01022646,0.1335,883.5687561,6618.492555,2.92932,19387.68261,399.5121497,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Tarletonbeania crenularis,0.050878402,0.058,932.4182663,16076.17701,6,96457.06203,1987.641792,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Tactostoma macropus,0.079960659,0.0575,1452.758834,25265.37103,6,151592.2262,3123.784176,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Cottus confusus,0.054360252,0.087,1494.342094,17176.34591,6,103058.0754,2123.66553,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Oncorhynchus keta,0.100387343,0.091,2886.487381,31719.64155,6,190317.8493,3921.783465,1895835.118,48.52839301,39066.51344
CPS_mock2,even,Citharichthys sordidus,0.097378566,0.1295,3984.579132,30768.95083,6,184613.705,3804.241054,1895835.118,48.52839301,39066.51344
CPS_mock2,skew,Merluccius productus,0.027349096,0.1235,2754.293798,22301.97407,4,89207.89629,1877.890904,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Engraulis mordax,0.071456971,0.058,1689.829681,29134.9945,8,233079.956,4906.502086,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Sardinops sagax,0.016733276,0.053,1446.39583,27290.48736,2,54580.97472,1148.969096,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Scomber japonicus,0.025486333,0.051,1211.350452,23751.96965,3.5,83131.89376,1749.986645,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Thunnus alalunga,0.001572874,0.063,107.7391472,1710.145194,3,5130.435581,107.9993892,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Trachurus symmetricus,0.008561359,0.1155,1290.164245,11170.2532,2.5,27925.63301,587.8548244,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Thaleichthys pacificus,0.00588065,0.09,1726.347244,19181.63604,1,19181.63604,403.7873478,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Microstomus pacificus,0.102604993,0.1495,1667.818393,11155.97587,30,334679.2762,7045.241448,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Clupea pallasii,0.004362914,0.061,496.0538044,8132.02958,1.75,14231.05177,299.5739589,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Oncorhynchus nerka,0.185934274,0.132,5003.49794,37905.28742,16,606484.5988,12766.94058,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Diaphus theta,0.001014539,0.1335,883.5687561,6618.492555,0.5,3309.246278,69.66203375,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Tarletonbeania crenularis,0.059143048,0.058,932.4182663,16076.17701,12,192914.1241,4060.982198,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Tactostoma macropus,0.154915671,0.0575,1452.758834,25265.37103,20,505307.4205,10637.08761,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Cottus confusus,0.09478573,0.087,1494.342094,17176.34591,18,309174.2263,6508.341654,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Oncorhynchus keta,0.145867724,0.091,2886.487381,31719.64155,15,475794.6232,10015.82183,3261822.501,47.50430183,68663.72887
CPS_mock2,skew,Citharichthys sordidus,0.094330549,0.1295,3984.579132,30768.95083,10,307689.5083,6477.087262,3261822.501,47.50430183,68663.72887
