mock,rep,dilution,plate_layout,conc_rxn_copies_ul,total_droplets,positive_droplets,negative_droplets,conc_sample_copies_ul
CPSmock2_even,1,1,A01,3404.688,22184,20956,1228,37451.568
CPSmock2_even,2,1,B01,3580.319,20764,19774,990,39383.509
CPSmock2_even,3,1,C01,3491.167,20843,19771,1072,38402.837
CPSmock2_skew,1,1,D01,6230.042,21540,21432,108,68530.462
CPSmock2_skew,2,1,E01,6106.971,20658,20543,115,67176.681
CPSmock2_skew,3,1,F01,5894.918,22051,21904,147,64844.098
NTC,1,1,G01,0.056825,20704,1,20703,0.625075
NTC,1,1,A02,0.162343,21742,3,21739,1.785773
NTC,2,1,B02,0.214196,21972,4,21968,2.356156
NTC,3,1,C02,0.111598,21085,2,21083,1.227578
CPSmock3_skew,1,1,D02,7704.349,20950,20920,30,84747.839
CPSmock3_skew,2,1,E02,7657.141,20126,20096,30,84228.551
CPSmock3_skew,3,1,F02,7317.981,19611,19572,39,80497.791
NTC,2,1,G02,0.113455,20740,2,20738,1.248005
CPSmock4_even,3,1,A03,4646.06,21483,21069,414,51106.66
CPSmock4_even,4,1,B03,4658.891,19830,19452,378,51247.801
CPSmock4_even,5,1,C03,4695.902,20951,20564,387,51654.922
CPSmock4_skew,1,1,D03,2180.455,20580,17355,3225,23985.005
CPSmock4_skew,2,1,E03,2492.887,21114,18577,2537,27421.757
CPSmock4_skew,3,1,F03,2659.753,21157,18951,2206,29257.283
NTC,6,1,G03,0.054104,21745,1,21744,0.595144
CPSmock2_even,1,10,A04,330.2042,21849,5347,16502,3632.2462
CPSmock2_even,2,10,B04,400.9334,20641,5961,14680,4410.2674
CPSmock2_even,3,10,C04,441.5666,20234,6332,13902,4857.2326
CPSmock2_skew,1,10,D04,641.8423,21097,8871,12226,7060.2653
CPSmock2_skew,2,10,E04,686.8643,21617,9560,12057,7555.5073
CPSmock2_skew,3,10,F04,692.076,20510,9121,11389,7612.836
NTC,7,1,G04,0.056888,20681,1,20680,0.625768
CPSmock3_even,1,10,A05,713.2267,20266,9213,11053,7845.4937
CPSmock3_even,2,10,B05,689.9694,21773,9661,12112,7589.6634
CPSmock3_even,3,10,C05,736.6177,21062,9801,11261,8102.7947
CPSmock3_skew,1,10,D05,749.5525,19956,9403,10553,8245.0775
CPSmock3_skew,2,10,E05,857.5612,21481,11118,10363,9433.1732
CPSmock3_skew,3,10,F05,793.3015,20663,10135,10528,8726.3165
NTC,8,1,G05,0.164346,21477,3,21474,1.807806
CPSmock4_even,1,10,A06,375.3342,21545,5885,15660,4128.6762
CPSmock4_even,2,10,B06,369.0173,22003,5924,16079,4059.1903
CPSmock4_even,3,10,C06,393.9225,20373,5797,14576,4333.1475
CPSmock4_skew,1,10,D06,231.2854,21426,3824,17602,2544.1394
CPSmock4_skew,2,10,E06,261.2866,20466,4076,16390,2874.1526
CPSmock4_skew,3,10,F06,254.9585,21397,4169,17228,2804.5435
NTC,9,1,G06,0.379533,21702,7,21695,4.174863
CPSmock2_even,1,100,A07,27.96458,21286,500,20786,307.61038
CPSmock2_even,2,100,B07,29.59262,21095,524,20571,325.51882
CPSmock2_even,3,100,C07,27.27691,20900,479,20421,300.04601
CPSmock2_skew,1,100,D07,53.77917,20567,919,19648,591.57087
CPSmock2_skew,2,100,E07,51.94267,21023,908,20115,571.36937
CPSmock2_skew,3,100,F07,50.40115,20555,862,19693,554.41265
NTC,10,1,G07,0.111487,21106,2,21104,1.226357
CPSmock3_even,1,100,A08,60.86031,20073,1012,19061,669.46341
CPSmock3_even,2,100,B08,50.01814,20661,860,19801,550.19954
CPSmock3_even,3,100,C08,51.66008,20507,881,19626,568.26088
CPSmock3_skew,1,100,D08,67.23874,21440,1191,20249,739.62614
CPSmock3_skew,2,100,E08,62.9926,20370,1062,19308,692.9186
CPSmock3_skew,3,100,F08,72.82825,20824,1250,19574,801.11075
NTC,11,1,G08,0.227921,20649,4,20645,2.507131
CPSmock4_even,1,100,A09,35.81217,21313,639,20674,393.93387
CPSmock4_even,2,100,B09,39.37685,21266,700,20566,433.14535
CPSmock4_even,3,100,C09,39.25029,20602,676,19926,431.75319
CPSmock4_skew,1,100,D09,23.88964,22088,444,21644,262.78604
CPSmock4_skew,2,100,E09,24.86746,21802,456,21346,273.54206
CPSmock4_skew,3,100,F09,24.08746,21415,434,20981,264.96206
NTC,12,1,G09,0.055357,21253,1,21252,0.608927
CPSmock2_even,1,1000,A10,4.946625,21450,90,21360,54.412875
CPSmock2_even,2,1000,B10,4.539157,21294,82,21212,49.930727
CPSmock2_even,3,1000,C10,3.734656,21455,68,21387,41.081216
CPSmock2_skew,1,1000,D10,8.735523,21358,158,21200,96.090753
CPSmock2_skew,2,1000,E10,7.534756,21303,136,21167,82.882316
CPSmock2_skew,3,1000,F10,6.026042,21139,108,21031,66.286462
NTC,13,1,G10,0.052774,22293,1,22292,0.580514
CPSmock3_even,1,1000,A11,10.39614,21710,191,21519,114.35754
CPSmock3_even,2,1000,B11,7.87928,21573,144,21429,86.67208
CPSmock3_even,3,1000,C11,7.054178,21746,130,21616,77.595958
CPSmock3_skew,1,1000,D11,8.933163,22077,167,21910,98.264793
CPSmock3_skew,2,1000,E11,8.261565,20721,145,20576,90.877215
CPSmock3_skew,3,1000,F11,8.1371,21327,147,21180,89.5081
NTC,14,1,G11,0.167203,21110,3,21107,1.839233
CPSmock4_even,1,1000,A12,5.342988,22069,100,21969,58.772868
CPSmock4_even,2,1000,B12,5.097251,21974,95,21879,56.069761
CPSmock4_even,3,1000,C12,4.762402,22278,90,22188,52.386422
CPSmock4_skew,1,1000,D12,3.530178,22362,67,22295,38.831958
CPSmock4_skew,2,1000,E12,2.494445,20774,44,20730,27.438895
CPSmock4_skew,3,1000,F12,6.688052,20816,118,20698,73.568572
NTC,15,1,G12,0.323799,21803,6,21797,3.561789
